Party,District,Position,Name,RandX,RandY,PosParty,PopDistrict,Index,Row,Col,Row2,Col2
PSD,Aveiro,5, Almiro Miguel Santos Rodrigues Moreira,0,0,6,1,1096,9,7,9,7
PSD,Aveiro,6, Maria Paula da Graça Cardoso,0,0,6,1,1097,9,8,9,8
PSD,Aveiro,7, Paulo Cesar Lima Cavaleiro,0,0,6,1,1098,9,9,9,9
PSD,Beja,1, Gonçalo Nuno Raio Valente e Henrique,0,0,6,2,1099,9,10,9,10
PSD,Braga,1, Hugo Alexandre Lopes Soares,0,0,6,3,1100,10,1,10,1
PSD,Braga,2, Ricardo José Machado Pereira da Silva Araújo,0,0,6,3,1101,10,2,10,2
PSD,Braga,3, Maria Clara Gonçalves Marques Mendes,0,0,6,3,1102,10,3,10,3
PSD,Braga,4, Jorge Paulo da Silva Oliveira,0,0,6,3,1103,10,4,10,4
PSD,Braga,5, Emídio Guerreiro,0,0,6,3,1104,10,5,10,5
PSD,Braga,6, Ana Cristina Rodrigues dos Santos Araújo,0,0,6,3,1105,10,6,10,6
PSD,Braga,7, Carlos Eduardo Vasconcelos Fernandes Ribeiro dos Reis,0,0,6,3,1106,10,7,10,7
PSD,Braga,8, Carlos Manuel de Brito Cação,0,0,6,3,1107,10,8,10,8
PSD,Bragança,1, Hernâni Dinis Venâncio Dias,0,0,6,4,1108,10,9,10,9
PSD,Bragança,2, Nuno Jorge Rodrigues Gonçalves,0,0,6,4,1109,10,10,10,10
PSD,Castelo Branco,1, Liliana Domingues Reis Ferreira,0,0,6,5,1110,11,1,11,1
PSD,Coimbra,1, Rita Fragoso de Rhodes Alarcão Júdice de Abreu e Mota,0,0,6,6,1111,11,2,11,2
PSD,Coimbra,2, Maurício Teixeira Marques,0,0,6,6,1112,11,3,11,3
PSD,Coimbra,3, Martim Arnaut Syder,0,0,6,6,1113,11,4,11,4
PSD,Évora,1, Sónia Cristina Silva dos Ramos,0,0,6,7,1114,11,5,11,5
PSD,Faro,1, Miguel Martinez de Castro Pinto Luz,0,0,6,8,1115,11,6,11,6
PSD,Faro,2, Cristóvão Duarte Nunes Guerreiro Norte,0,0,6,8,1116,11,7,11,7
