Data,COIP,Valor
2008-05-15,HICP,154
2008-05-15,Cabeleireiros,202.5
2008-06-15,HICP,154
2008-06-15,Cabeleireiros,202.9
2008-07-15,HICP,152.8
2008-07-15,Cabeleireiros,203
2008-08-15,HICP,151.1
2008-08-15,Cabeleireiros,203
2008-09-15,HICP,154.3
2008-09-15,Cabeleireiros,203.4
2008-10-15,HICP,154.4
2008-10-15,Cabeleireiros,204.1
2008-11-15,HICP,154
2008-11-15,Cabeleireiros,205
2008-12-15,HICP,153.6
2008-12-15,Cabeleireiros,213.5
2009-01-15,HICP,152.7
2009-01-15,Cabeleireiros,209.7
2009-02-15,HICP,151
2009-02-15,Cabeleireiros,206.2
2009-03-15,HICP,154.1
2009-03-15,Cabeleireiros,206.9
2009-04-15,HICP,154.8
2009-04-15,Cabeleireiros,212.2
2009-05-15,HICP,155.1
2009-05-15,Cabeleireiros,208.8
2009-06-15,HICP,155
2009-06-15,Cabeleireiros,209
2009-07-15,HICP,153.9
2009-07-15,Cabeleireiros,209.5
2009-08-15,HICP,152.6
2009-08-15,Cabeleireiros,209.9
2009-09-15,HICP,155.5
2009-09-15,Cabeleireiros,210.4
2009-10-15,HICP,156.3
2009-10-15,Cabeleireiros,211.2
2009-11-15,HICP,157.3
2009-11-15,Cabeleireiros,211.7
2009-12-15,HICP,157.5
2009-12-15,Cabeleireiros,215.7
2010-01-15,HICP,156.3
2010-01-15,Cabeleireiros,214.9
2010-02-15,HICP,155.4
2010-02-15,Cabeleireiros,213.7
2010-03-15,HICP,160.1
2010-03-15,Cabeleireiros,217.1
2010-04-15,HICP,162.1
2010-04-15,Cabeleireiros,216.9
2010-05-15,HICP,163.4
2010-05-15,Cabeleireiros,214.5
2010-06-15,HICP,163.1
2010-06-15,Cabeleireiros,214.5
2010-07-15,HICP,162.4
2010-07-15,Cabeleireiros,214.6
2010-08-15,HICP,161.2
2010-08-15,Cabeleireiros,214.6
2010-09-15,HICP,164.3
2010-09-15,Cabeleireiros,214.7
2010-10-15,HICP,164.5
2010-10-15,Cabeleireiros,214.7
2010-11-15,HICP,164.8
2010-11-15,Cabeleireiros,214.9
2010-12-15,HICP,165.6
2010-12-15,Cabeleireiros,221.3
2011-01-15,HICP,164
2011-01-15,Cabeleireiros,216.8
2011-02-15,HICP,161.8
2011-02-15,Cabeleireiros,216.2
2011-03-15,HICP,167
2011-03-15,Cabeleireiros,215.3
2011-04-15,HICP,168.1
2011-04-15,Cabeleireiros,215.5
2011-05-15,HICP,168.5
2011-05-15,Cabeleireiros,215.5
2011-06-15,HICP,168.1
2011-06-15,Cabeleireiros,215.5
2011-07-15,HICP,165.8
2011-07-15,Cabeleireiros,215
2011-08-15,HICP,163.5
2011-08-15,Cabeleireiros,215.1
2011-09-15,HICP,169
2011-09-15,Cabeleireiros,215.8
2011-10-15,HICP,169.2
2011-10-15,Cabeleireiros,215.5
2011-11-15,HICP,169.5
2011-11-15,Cabeleireiros,215.5
2011-12-15,HICP,169.2
2011-12-15,Cabeleireiros,220.7
2012-01-15,HICP,167.4
2012-01-15,Cabeleireiros,219.9
2012-02-15,HICP,164.5
2012-02-15,Cabeleireiros,215.5
2012-03-15,HICP,169.3
2012-03-15,Cabeleireiros,213.6
2012-04-15,HICP,170.7
2012-04-15,Cabeleireiros,211.8
2012-05-15,HICP,170.1
2012-05-15,Cabeleireiros,209.7
2012-06-15,HICP,169.7
