Party,District,Position,Name,RandX,RandY,PosParty,PopDistrict,Index
PSD,Porto,11, Alberto Jorge Torres da Silva Fonseca,0,0,6,13,1147
PSD,Porto,12, Ana Gabriela Oliveira Cabilhas,0,0,6,13,1148
PSD,Porto,13, Pedro Miguel Neves de Sousa,0,0,6,13,1149
PSD,Porto,14, Francisco José de Sousa Vieira,0,0,6,13,1150
PSD,Santarém,1, Eduardo Manuel Drummond de Oliveira e Sousa,0,0,6,14,1151
PSD,Santarém,2, João Manuel Moura Rodrigues,0,0,6,14,1152
PSD,Santarém,3, Isaura Maria Elias Crisóstomo Bernardino Morais,0,0,6,14,1153
PSD,Setúbal,1, Maria Teresa da Silva Morais,0,0,6,15,1154
PSD,Setúbal,2, Paulo Jorge Simões Ribeiro,0,0,6,15,1155
PSD,Setúbal,3, Bruno Jorge Viegas Vitorino,0,0,6,15,1156
PSD,Setúbal,4, Sónia dos Reis,0,0,6,15,1157
PSD,Viana do Castelo,1, José Pedro Correia de Aguiar Branco,0,0,6,16,1158
PSD,Viana do Castelo,2, Maria Emília e Sousa Cerqueira,0,0,6,16,1159
PSD,Vila Real,1, Amílcar Rodrigues Alves Castro de Almeida,0,0,6,17,1160
PSD,Vila Real,2, António Alberto Pires Aguiar Machado,0,0,6,17,1161
PSD,Viseu,1, António Egrejas Leitão Amaro,0,0,6,18,1162
PSD,Viseu,2, Pedro Filipe dos Santos Alves,0,0,6,18,1163
PSD,Viseu,3, Inês Carmelo Rosa Calado Lopes Domingos,0,0,6,18,1164
PSD,Açores,1, Paulo Alexandre Luís Botelho Moniz,0,0,6,19,1165
PSD,Açores,2, Francisco José Duarte Pimentel,0,0,6,19,1166
PSD,Madeira,1, Pedro Emanuel Abreu Coelho,0,0,6,20,1167
PSD,Madeira,2, Paula Cristina Baptista Margarido,0,0,6,20,1168
PSD,Madeira,3, Paulo Alexandre de Sousa Neves,0,0,6,20,1169
PSD,Fora da Europa,1, José de Almeida Cesário,0,0,6,22,1170
IL,Aveiro,1, Mário Filipe Amorim Faria de Oliveira Lopes,0,0,7,1,1171
IL,Braga,1, Rui Nuno de Oliveira Garcia da Rocha,0,0,7,3,1172
IL,Lisboa,1, Bernardo Alves Martinho Amaral Blanco,0,0,7,11,1173
IL,Lisboa,2, Mariana de Lemos Quintão Correia Leitão,0,0,7,11,1174
IL,Lisboa,3, Rodrigo Miguel Dias Saraiva,0,0,7,11,1175
IL,Porto,1, Carlos Manuel Guimarães Oliveira Pinto,0,0,7,13,1176
IL,Porto,2, Ana Patrícia Costa Gilvaz,0,0,7,13,1177
IL,Setúbal,1, Joana Rita Madaleno Cordeiro,0,0,7,15,1178
CH,Aveiro,1, Jorge Manuel de Valsassina Galveias Rodrigues,-0.022785853,0.016565502,8,1,1179
CH,Aveiro,2, Maria José Gomes de Aguiar,0.000788637,0.018775971,8,1,1180
CH,Aveiro,3, Armando Carlos da Silva Grave,0.005246913,0.0036264,8,1,1181
CH,Beja,1, Diva Nélia Capela de Jesus Ribeiro,0.004744933,0.008523716,8,2,1182
CH,Braga,1, António Filipe Dias Melo Peixoto,0.012049132,0.005620389,8,3,1183
CH,Braga,2, Rodrigo Santos Alves Taxa,-0.021233664,-0.01007074,8,3,1184
CH,Braga,3, Vanessa Claúdia Nogueira da Rosa Barata,0.011653164,-0.020768123,8,3,1185
CH,Braga,4, Carlos Alberto Barbosa Vieira Pinto,-0.001371263,0.007009852,8,3,1186
CH,Castelo Branco,1, João Filipe Dias Ribeiro,0.009448482,0.009076966,8,5,1187
CH,Coimbra,1, António José Cerejo Pinto Pereira,0.002022457,-0.006018236,8,6,1188
CH,Coimbra,2, Eliseu da Costa Neves,0.017806413,0.019572791,8,6,1189
CH,Évora,1, Rui Celestino dos Santos Cristina,-0.021144305,0.002012375,8,7,1190
CH,Faro,1, Pedro Miguel Soares Pinto,0.015607908,0.009896378,8,8,1191
CH,Faro,2, João Paulo da Silva Graça,0.003681596,-0.002882719,8,8,1192
CH,Faro,3, Sandra Margarida de Melo Pereira Ribeiro,0.002833816,0.011443936,8,8,1193
CH,Guarda,1, Carlos Nuno Gomes e Simões de Melo,-0.018453505,-0.00645472,8,9,1194
CH,Leiria,1, Gabriel Sérgio Mithá Ribeiro,0.013397964,-0.021302488,8,10,1195
CH,Leiria,2, Luis Paulo Pereira Fernandes,0.00524046,0.005583567,8,10,1196
CH,Lisboa,1, André Claro Amaral Ventura,-0.014057585,0.011433786,8,11,1197
CH,Lisboa,2, Rui Paulo Duque de Sousa,-0.01907823,0.005361939,8,11,1198
CH,Lisboa,3, Marta Sofia Martins da Silva Trindade,-0.007216707,0.01737139,8,11,1199
CH,Lisboa,4, Pedro Manuel de Andrade Pessanha Fernandes,-0.023588615,-0.010717188,8,11,1200
CSD,Lisboa,4, Paulo de Faria Lince Núncio,0,0,8,11,1201
CH,Lisboa,5, Ricardo Dias Pinto Blaufuks,-0.016428551,-0.007581778,8,11,1202
CH,Lisboa,6, Felicidade Maria da Silva Santos Vital de Alcântara,0.005333765,-0.011637479,8,11,1203
CH,Lisboa,7, Bruno Miguel de Oliveira Nunes,-0.006090611,0.017358055,8,11,1204
CH,Lisboa,8, Madalena Simões Cordeiro,-0.00166883,-0.019552729,8,11,1205
CH,Lisboa,9, José Manuel Pombinho Barreira Soares,0.02097933,0.01064529,8,11,1206
CH,Portalegre,1, Henrique José Praia da Rocha de Freitas,0.00340543,-0.00780972,8,12,1207
CH,Porto,1, Rui Pedro da Silva Afonso,-0.021443585,0.01423168,8,13,1208
CH,Porto,2, Diogo Velez Mouta Pacheco de Amorim,0.005102944,-0.018527656,8,13,1209
CSD,Porto,2, João Nuno Lacerda Teixeira de Melo,0,0,8,13,1210
CH,Porto,3, Maria Cristina Pacheco Rodrigues,-0.005701212,0.019923151,8,13,1211
CH,Porto,4, José António Ribeiro Carvalho,-0.011850195,0.000342391,8,13,1212
CH,Porto,5, Marcus Vinicius Teixeira Soares dos Santos,0.00599798,-0.005795095,8,13,1213
CH,Porto,6, Sónia Cristina de Sousa Monteiro,0.001283876,0.002938826,8,13,1214
CH,Porto,7, Raúl Gabriel Palha de Bessa Melo,0.020084786,0.001783664,8,13,1215
CH,Santarém,1, Pedro Saraiva Gonçalves dos Santos Frazão,0.018131398,0.018640995,8,14,1216
CH,Santarém,2, Pedro Alexandre Arrabaça da Silva Oliveira Correia,0.017648596,-0.024753824,8,14,1217
CH,Santarém,3, Luísa Maria Lobo da Costa Macedo,0.016343572,-0.000875898,8,14,1218
CH,Setúbal,1, Rita Maria Cid Matias,0.002163436,-0.019851528,8,15,1219
CH,Setúbal,2, Patricia Alexandra Martins de Carvalho,-0.006167237,0.020276502,8,15,1220
CH,Setúbal,3, Nuno Miguel da Costa Gabriel,0.020375533,0.001148037,8,15,1221
CH,Setúbal,4, Daniel Madeira Caetano Teixeira,0.002840709,0.000225829,8,15,1222
CH,Viana do Castelo,1, Eduardo Alexandre Ribeiro Gonçalves Teixeira,0.018848625,-0.005427867,8,16,1223
CH,Vila Real,1, Maria Manuela Pereira Tender,0.012371067,0.006010613,8,17,1224
CH,Viseu,1, João José Rodrigues Tilly,0.020136212,0.021801724,8,18,1225
CH,Viseu,2, Bernardo Cappelle Homem Caldeira Pessanha,-0.018706035,-0.000351025,8,18,1226
CH,Açores,1, Miguel António Taveira Franco Sousa Arruda,0.007580514,0.005899721,8,19,1227
CH,Madeira,1, Francisco Manuel de Freitas Gomes,0.018364454,-0.004275999,8,20,1228
CH,Europa,1, José Dias Fernandes,0.001631318,-0.003933258,8,21,1229
CH,Fora da Europa,1, Manuel Magno Alves,-0.020796103,0.018647853,8,22,1230
