Country,Year,Age,PopMale,PopFemale,PopTotal,RelMasc
Portugal,1951,86,1546,3844,5390,40.2185
Portugal,1951,87,1185,3124,4309,37.9321
Portugal,1951,88,883,2478,3361,35.6336
Portugal,1951,89,688,2029,2717,33.9083
Portugal,1951,90,537,1622,2159,33.1073
Portugal,1951,91,385,1237,1622,31.1237
Portugal,1951,92,279,966,1245,28.882
Portugal,1951,93,186,740,926,25.1351
Portugal,1951,94,137,559,696,24.5081
Portugal,1951,95,103,444,547,23.1982
Portugal,1951,96,75,333,408,22.5225
Portugal,1951,97,55,227,282,24.2291
Portugal,1951,98,33,155,188,21.2903
Portugal,1951,99,22,100,122,22
Portugal,1951,100,33,196,229,16.8367
Portugal,1952,0,100220,93962,194182,106.6601
Portugal,1952,1,85954,81935,167889,104.9051
Portugal,1952,2,89239,84850,174089,105.1727
Portugal,1952,3,91224,88059,179283,103.5942
Portugal,1952,4,88227,85463,173690,103.2341
Portugal,1952,5,90305,87510,177815,103.1939
Portugal,1952,6,86195,83321,169516,103.4493
Portugal,1952,7,84441,82533,166974,102.3118
Portugal,1952,8,83479,81589,165068,102.3165
Portugal,1952,9,76319,73665,149984,103.6028
Portugal,1952,10,72225,70471,142696,102.489
Portugal,1952,11,76666,75242,151908,101.8926
Portugal,1952,12,76906,75296,152202,102.1382
Portugal,1952,13,83104,81216,164320,102.3247
Portugal,1952,14,78502,78077,156579,100.5443
Portugal,1952,15,83101,80658,163759,103.0288
Portugal,1952,16,79247,79328,158575,99.8979
Portugal,1952,17,78936,79861,158797,98.8417
Portugal,1952,18,80241,80585,160826,99.5731
Portugal,1952,19,83603,84916,168519,98.4538
Portugal,1952,20,74189,75837,150026,97.8269
Portugal,1952,21,72998,78750,151748,92.6959
Portugal,1952,22,76480,71121,147601,107.535
Portugal,1952,23,76387,77362,153749,98.7397
Portugal,1952,24,72816,74087,146903,98.2844
Portugal,1952,25,73145,74705,147850,97.9118
Portugal,1952,26,70561,73973,144534,95.3875
Portugal,1952,27,68652,72002,140654,95.3474
Portugal,1952,28,66170,69154,135324,95.685
Portugal,1952,29,65840,68176,134016,96.5736
Portugal,1952,30,58436,59474,117910,98.2547
Portugal,1952,31,65170,68832,134002,94.6798
Portugal,1952,32,44848,45956,90804,97.589
Portugal,1952,33,49546,52708,102254,94.0009
Portugal,1952,34,51034,54281,105315,94.0182
Portugal,1952,35,50310,54316,104626,92.6246
Portugal,1952,36,53588,57151,110739,93.7656
Portugal,1952,37,54019,58460,112479,92.4034
Portugal,1952,38,53277,57396,110673,92.8235
Portugal,1952,39,56972,62372,119344,91.3423
Portugal,1952,40,52145,55727,107872,93.5722
Portugal,1952,41,59399,66133,125532,89.8175
Portugal,1952,42,44061,46865,90926,94.0169
Portugal,1952,43,51708,57030,108738,90.6681
Portugal,1952,44,45911,52470,98381,87.4995
Portugal,1952,45,44764,52391,97155,85.4422
Portugal,1952,46,46161,52948,99109,87.1818
Portugal,1952,47,41441,49336,90777,83.9975
Portugal,1952,48,40472,48388,88860,83.6406
Portugal,1952,49,42560,52106,94666,81.6797
Portugal,1952,50,38031,44360,82391,85.7326
Portugal,1952,51,45757,57069,102826,80.1784
Portugal,1952,52,30741,35616,66357,86.3123
Portugal,1952,53,34786,42794,77580,81.2871
Portugal,1952,54,31500,39016,70516,80.7361
Portugal,1952,55,30527,38236,68763,79.8384
Portugal,1952,56,31441,39778,71219,79.0412
Portugal,1952,57,30299,38773,69072,78.1446
Portugal,1952,58,27739,35231,62970,78.7346
Portugal,1952,59,29318,38440,67758,76.2695
Portugal,1952,60,24668,30882,55550,79.8782
Portugal,1952,61,31688,45024,76712,70.3802
Portugal,1952,62,20785,25896,46681,80.2634
Portugal,1952,63,24908,32899,57807,75.7105
Portugal,1952,64,23084,30904,53988,74.6958
Portugal,1952,65,21610,30132,51742,71.7178
Portugal,1952,66,21335,31287,52622,68.1913
Portugal,1952,67,20554,29175,49729,70.4507
Portugal,1952,68,17674,25096,42770,70.4256
Portugal,1952,69,17612,26465,44077,66.5483
Portugal,1952,70,13882,19039,32921,72.9135
Portugal,1952,71,18683,29197,47880,63.9895
Portugal,1952,72,10740,14711,25451,73.0066
Portugal,1952,73,12903,19333,32236,66.7408
Portugal,1952,74,11503,16299,27802,70.5749
Portugal,1952,75,10159,15395,25554,65.989
Portugal,1952,76,10143,17084,27227,59.3713
Portugal,1952,77,8297,13543,21840,61.2641
Portugal,1952,78,7016,11401,18417,61.5385
Portugal,1952,79,6838,11979,18817,57.0832
Portugal,1952,80,5362,10155,15517,52.8016
Portugal,1952,81,4592,8987,13579,51.096
Portugal,1952,82,3835,7737,11572,49.567
Portugal,1952,83,3081,6556,9637,46.9951
Portugal,1952,84,2522,5647,8169,44.6609
Portugal,1952,85,1990,4664,6654,42.6672
Portugal,1952,86,1540,3831,5371,40.1984
Portugal,1952,87,1199,3160,4359,37.943
Portugal,1952,88,884,2512,3396,35.1911
Portugal,1952,89,660,1978,2638,33.367
Portugal,1952,90,521,1580,2101,32.9747
Portugal,1952,91,400,1251,1651,31.9744
Portugal,1952,92,291,986,1277,29.5132
Portugal,1952,93,205,741,946,27.6653
Portugal,1952,94,135,564,699,23.9362
Portugal,1952,95,96,414,510,23.1884
Portugal,1952,96,70,314,384,22.293
Portugal,1952,97,45,235,280,19.1489
Portugal,1952,98,27,143,170,18.8811
Portugal,1952,99,13,91,104,14.2857
Portugal,1952,100,30,183,213,16.3934
Portugal,1953,0,101547,95069,196616,106.814
Portugal,1953,1,94616,89299,183915,105.9542
Portugal,1953,2,84518,80809,165327,104.5898
Portugal,1953,3,88162,83967,172129,104.996
Portugal,1953,4,90766,87730,178496,103.4606
Portugal,1953,5,87287,84838,172125,102.8867
Portugal,1953,6,89176,86691,175867,102.8665
Portugal,1953,7,85669,83287,168956,102.86
Portugal,1953,8,83617,82189,165806,101.7375
Portugal,1953,9,82451,81065,163516,101.7097
Portugal,1953,10,75598,73647,149245,102.6491
Portugal,1953,11,71154,70085,141239,101.5253
Portugal,1953,12,75690,75080,150770,100.8125
Portugal,1953,13,75454,75053,150507,100.5343
Portugal,1953,14,81504,80454,161958,101.3051
Portugal,1953,15,77276,77488,154764,99.7264
Portugal,1953,16,81475,79866,161341,102.0146
Portugal,1953,17,77906,78631,156537,99.078
Portugal,1953,18,77278,78685,155963,98.2119
Portugal,1953,19,78480,79403,157883,98.8376
Portugal,1953,20,81672,83390,165062,97.9398
Portugal,1953,21,72801,74567,147368,97.6317
Portugal,1953,22,72200,77972,150172,92.5973
Portugal,1953,23,74503,70161,144664,106.1886
Portugal,1953,24,74601,76123,150724,98.0006
Portugal,1953,25,71252,73043,144295,97.548
Portugal,1953,26,71647,73596,145243,97.3518
Portugal,1953,27,69449,73051,142500,95.0692
Portugal,1953,28,67533,71064,138597,95.0312
Portugal,1953,29,64964,68082,133046,95.4202
Portugal,1953,30,64789,67337,132126,96.216
Portugal,1953,31,57809,59065,116874,97.8735
Portugal,1953,32,64548,68390,132938,94.3822
Portugal,1953,33,44547,45675,90222,97.5304
Portugal,1953,34,49113,52363,101476,93.7933
Portugal,1953,35,50454,53836,104290,93.718
Portugal,1953,36,49922,53958,103880,92.5201
Portugal,1953,37,53209,56798,110007,93.6811
Portugal,1953,38,53361,57754,111115,92.3936
Portugal,1953,39,52731,56846,109577,92.7611
Portugal,1953,40,56230,61725,117955,91.0976
Portugal,1953,41,51667,55283,106950,93.4591
Portugal,1953,42,58774,65732,124506,89.4146
Portugal,1953,43,43973,46824,90797,93.9112
Portugal,1953,44,50980,56349,107329,90.4719
Portugal,1953,45,45589,52127,97716,87.4576
Portugal,1953,46,44350,52021,96371,85.254
Portugal,1953,47,45576,52575,98151,86.6876
Portugal,1953,48,41173,49129,90302,83.8059
Portugal,1953,49,40174,48045,88219,83.6174
Portugal,1953,50,41872,51305,93177,81.6139
Portugal,1953,51,37612,43869,81481,85.7371
Portugal,1953,52,45087,56659,101746,79.5761
Portugal,1953,53,30360,35215,65575,86.2133
Portugal,1953,54,34191,42118,76309,81.1791
Portugal,1953,55,31104,38609,69713,80.5615
Portugal,1953,56,30118,37870,67988,79.53
Portugal,1953,57,30851,39284,70135,78.5332
Portugal,1953,58,29675,38169,67844,77.7463
Portugal,1953,59,27333,34859,62192,78.4102
Portugal,1953,60,28652,37738,66390,75.9235
Portugal,1953,61,24145,30367,54512,79.5107
Portugal,1953,62,30689,43881,74570,69.9369
Portugal,1953,63,20421,25624,46045,79.6948
Portugal,1953,64,24338,32321,56659,75.3009
Portugal,1953,65,22382,30120,52502,74.3094
Portugal,1953,66,20896,29282,50178,71.3612
Portugal,1953,67,20536,30418,50954,67.5127
Portugal,1953,68,19620,28094,47714,69.837
Portugal,1953,69,16986,24325,41311,69.8294
Portugal,1953,70,16811,25491,42302,65.9488
Portugal,1953,71,13280,18383,31663,72.2407
Portugal,1953,72,17588,27907,45495,63.0236
Portugal,1953,73,10087,14155,24242,71.261
Portugal,1953,74,12012,18354,30366,65.4462
Portugal,1953,75,10633,15411,26044,68.9962
Portugal,1953,76,9318,14510,23828,64.2178
Portugal,1953,77,9218,15955,25173,57.775
Portugal,1953,78,7442,12541,19983,59.3414
Portugal,1953,79,6280,10525,16805,59.6675
Portugal,1953,80,5476,10473,15949,52.2868
Portugal,1953,81,4682,9089,13771,51.5128
Portugal,1953,82,3988,8065,12053,49.4482
Portugal,1953,83,3277,6821,10098,48.0428
Portugal,1953,84,2579,5713,8292,45.1427
Portugal,1953,85,2039,4777,6816,42.6837
Portugal,1953,86,1583,3886,5469,40.736
Portugal,1953,87,1218,3190,4408,38.1818
Portugal,1953,88,915,2576,3491,35.5202
Portugal,1953,89,664,2014,2678,32.9692
Portugal,1953,90,490,1540,2030,31.8182
Portugal,1953,91,395,1240,1635,31.8548
Portugal,1953,92,314,1015,1329,30.936
Portugal,1953,93,209,772,981,27.0725
Portugal,1953,94,147,575,722,25.5652
Portugal,1953,95,96,412,508,23.301
Portugal,1953,96,68,277,345,24.5487
Portugal,1953,97,48,210,258,22.8571
Portugal,1953,98,24,154,178,15.5844
Portugal,1953,99,12,86,98,13.9535
Portugal,1953,100,24,167,191,14.3713
Portugal,1954,0,96605,91602,188207,105.4617
