DICOFRE,Freguesia,Concelho,Distrito,Area_ha,Des_Simpli,População,X,Y,Meridian
011103,Casal Comba,Mealhada,Aveiro,1880.42,Casal Comba,3073,-28448.20983,75320.14086,-1
011104,Luso,Mealhada,Aveiro,1686.94,Luso,2276,-20882.62939,79221.56371,0
011106,Pampilhosa,Mealhada,Aveiro,1360.34,Pampilhosa,3858,-25184.67055,74486.60123,-1
011107,Vacariça,Mealhada,Aveiro,1866.67,Vacariça,1678,-23069.92622,77324.56272,0
011109,União das freguesias da Mealhada, Ventosa do Bairro e Antes,Mealhada,Aveiro,2140.4,Mealhada, Ventosa do Bairro e Antes,6373,-27936.08994,80175.94473,-1
011201,Bunheiro,Murtosa,Aveiro,2479.24,Bunheiro,2497,-43980.5297,122542.9822,-1
011202,Monte,Murtosa,Aveiro,228.57,Monte,1568,-42648.78975,120450.6958,-1
011203,Murtosa,Murtosa,Aveiro,1454.93,Murtosa,3503,-44013.97577,118703.706,-1
011204,Torreira,Murtosa,Aveiro,3146.04,Torreira,2908,-47887.84008,121154.112,-1
011301,Carregosa,Oliveira de Azeméis,Aveiro,1181.73,Carregosa,3466,-23511.08062,135720.3553,0
011302,Cesar,Oliveira de Azeméis,Aveiro,542.77,Cesar,3072,-26085.89093,138727.2676,-1
011303,Fajões,Oliveira de Azeméis,Aveiro,812.22,Fajões,2896,-24243.62892,138702.747,0
011304,Loureiro,Oliveira de Azeméis,Aveiro,1713.35,Loureiro,3638,-33066.26548,126067.6923,-1
011305,Macieira de Sarnes,Oliveira de Azeméis,Aveiro,386.89,Macieira de Sarnes,1856,-27684.5569,137160.2136,-1
011310,Ossela,Oliveira de Azeméis,Aveiro,1788.6,Ossela,1918,-24956.5145,128750.8533,0
011315,São Martinho da Gândara,Oliveira de Azeméis,Aveiro,813.13,São Martinho da Gândara,1854,-33299.4883,130900.7381,-1
011318,São Roque,Oliveira de Azeméis,Aveiro,705.29,São Roque,5023,-28189.64342,133591.4444,-1
